Instrument,Year,AsOfDate,Currency,MarketCap_EUR
AAL.L,2014,2014-12-31,EUR,18052207320.7867
BNZL.L,2014,2014-12-31,EUR,7600727481.17366
BNPP.PA,2014,2014-12-31,EUR,61368934632.06
ALCC.S,2014,2014-12-31,EUR,
AMUN.PA,2014,2014-12-31,EUR,
SFZN.S,2014,2014-12-31,EUR,560718853.545888
PKO.WA,2014,2014-12-31,EUR,10384364589.4367
RACE.MI,2014,2014-12-31,EUR,
LEGn.DE,2014,2014-12-31,EUR,3537362893.56
PRU.L,2014,2014-12-31,EUR,40420626081.4597
KMAR.OL,2014,2014-12-31,EUR,
BIRG.I,2014,2014-12-31,EUR,10129705100.04
MONC.MI,2014,2014-12-31,EUR,2767500000.0
TEPRF.PA,2014,2014-12-31,EUR,3227891366.7
VIE.PA,2014,2014-12-31,EUR,8296763531.87669
EXPN.L,2014,2014-12-31,EUR,13868106452.0988
HEIG.DE,2014,2014-12-31,EUR,11051368012.37
UMI.BR,2014,2014-12-31,EUR,3730160000.0
ITPG.MI,2014,2014-12-31,EUR,1303285149.18
VAR.OL,2014,2014-12-31,EUR,
TRYG.CO,2014,2014-12-31,EUR,5513485715.03286
CAPP.PA,2014,2014-12-31,EUR,9730508606.52
SYENS.BR,2014,2014-12-31,EUR,
BOUY.PA,2014,2014-12-31,EUR,10070372659.52
SSABb.ST,2014,2014-12-31,EUR,2135212576.80333
WBSV.VI,2014,2014-12-31,EUR,1347444349.26
ENR1n.DE,2014,2014-12-31,EUR,
KOG.OL,2014,2014-12-31,EUR,1208766524.4835
AMA.MC,2014,2014-12-31,EUR,14808248815.75
SHEL.AS,2014,2014-12-31,EUR,178473863790.091
ZEG.L,2014,2014-12-31,EUR,
DTGGe.DE,2014,2014-12-31,EUR,
PSON.L,2014,2014-12-31,EUR,12560032750.7702
KEMIRA.HE,2014,2014-12-31,EUR,1550318718.86
FHZN.S,2014,2014-12-31,EUR,3424902716.71385
BATS.L,2014,2014-12-31,EUR,83987944281.1961
AVANZ.ST,2014,2014-12-31,EUR,768558836.421027
FLS.CO,2014,2014-12-31,EUR,1869123458.38776
GALD.S,2014,2014-12-31,EUR,
SCAb.ST,2014,2014-12-31,EUR,2201835255.22938
ISP.MI,2014,2014-12-31,EUR,38886304327.482
SKFb.ST,2014,2014-12-31,EUR,7873549347.71079
VLLP.PA,2014,2014-12-31,EUR,2971101169.15018
NDAFI.HE,2014,2014-12-31,EUR,38940287701.185
ROCKb.CO,2014,2014-12-31,EUR,2077492464.22973
LISP.S,2014,2014-12-31,EUR,10505918154.5585
RS1R.L,2014,2014-12-31,EUR,1217257658.96282
RUBF.PA,2014,2014-12-31,EUR,1775845961.64604
ENGIE.PA,2014,2014-12-31,EUR,43755547519.1255
SGRO.L,2014,2014-12-31,EUR,3538834553.08937
EVDG.DE,2014,2014-12-31,EUR,2352000000.0
HSX.L,2014,2014-12-31,EUR,2701058784.28082
YAR.OL,2014,2014-12-31,EUR,9766311347.40466
ACCP.PA,2014,2014-12-31,EUR,8594128509.14
ADDTb.ST,2014,2014-12-31,EUR,670813765.910097
BOL.ST,2014,2014-12-31,EUR,3209014497.52789
HSBA.L,2014,2014-12-31,EUR,147045108829.144
HOCM.L,2014,2014-12-31,EUR,409685524.627605
CBKG.DE,2014,2014-12-31,EUR,12500806212.18
SAF.PA,2014,2014-12-31,EUR,21372766231.25
ENEI.MI,2014,2014-12-31,EUR,34604356685.6
SHLG.DE,2014,2014-12-31,EUR,
GL9.I,2014,2014-12-31,EUR,3757621186.8
BMPS.MI,2014,2014-12-31,EUR,2463088498.21745
MWDP.PA,2014,2014-12-31,EUR,4441559382.9
ADSGn.DE,2014,2014-12-31,EUR,12055036637.32
UBSG.S,2014,2014-12-31,EUR,51770461643.4693
ELI.BR,2014,2014-12-31,EUR,2339030792.54234
HNRGn.DE,2014,2014-12-31,EUR,9041167135.98
HIAB.HE,2014,2014-12-31,EUR,825634505.39429
LIGHT.AS,2014,2014-12-31,EUR,
DGE.L,2014,2014-12-31,EUR,59816709915.8951
GBLB.BR,2014,2014-12-31,EUR,11416098805.25
LGEN.L,2014,2014-12-31,EUR,19015472419.1586
SAMPO.HE,2014,2014-12-31,EUR,18774338152.0
TKAG.DE,2014,2014-12-31,EUR,9037609087.63333
SUBC.OL,2014,2014-12-31,EUR,2817356110.18805
EDP.LS,2014,2014-12-31,EUR,9936348346.07961
RR.L,2014,2014-12-31,EUR,19357143862.1725
ASRNL.AS,2014,2014-12-31,EUR,
MBGn.DE,2014,2014-12-31,EUR,61799967853.2275
BYG.L,2014,2014-12-31,EUR,1224655805.92888
INPST.AS,2014,2014-12-31,EUR,
BKWB.S,2014,2014-12-31,EUR,1274707270.56019
TUI1n.DE,2014,2014-12-31,EUR,7363701034.07272
CARLb.CO,2014,2014-12-31,EUR,9970301389.44373
AIXGn.DE,2014,2014-12-31,EUR,1055947980.35
VATN.S,2014,2014-12-31,EUR,1095149368.18593
MRL.MC,2014,2014-12-31,EUR,1295996322.36449
ERICb.ST,2014,2014-12-31,EUR,32722513345.9068
AD.AS,2014,2014-12-31,EUR,12439288344.4452
TE.PA,2014,2014-12-31,EUR,
SFSN.S,2014,2014-12-31,EUR,2406934036.05483
ABBN.S,2014,2014-12-31,EUR,38218419013.6735
SBNOR.OL,2014,2014-12-31,EUR,175235014.561992
DBKGn.DE,2014,2014-12-31,EUR,34461157431.25
BNRGn.DE,2014,2014-12-31,EUR,7185795000.0
BZU.MI,2014,2014-12-31,EUR,1672117244.88911
ABVX.PA,2014,2014-12-31,EUR,
NESTE.HE,2014,2014-12-31,EUR,5130632372.38259
TSCO.L,2014,2014-12-31,EUR,15580197523.4369
DKSH.S,2014,2014-12-31,EUR,4139580660.57758
ITX.MC,2014,2014-12-31,EUR,73880235660.0
ADML.L,2014,2014-12-31,EUR,3636663386.2075
MOBN.S,2014,2014-12-31,EUR,966110831.815336
PGHN.S,2014,2014-12-31,EUR,6440406037.69368
VSURE.ST,2014,2014-12-31,EUR,
SALM.OL,2014,2014-12-31,EUR,1617185889.17588
CARR.PA,2014,2014-12-31,EUR,18292797962.3761
DHLn.DE,2014,2014-12-31,EUR,32756370185.79
BAER.S,2014,2014-12-31,EUR,8462605354.75497
STAN.L,2014,2014-12-31,EUR,30651370842.0596
NESN.S,2014,2014-12-31,EUR,192755053055.224
SPMI.MI,2014,2014-12-31,EUR,3875545448.64258
LVMH.PA,2014,2014-12-31,EUR,67142383380.0
DNB.OL,2014,2014-12-31,EUR,19868642741.8911
VOES.VI,2014,2014-12-31,EUR,5701169328.78
GEBN.S,2014,2014-12-31,EUR,10638917473.7742
RAAG.DE,2014,2014-12-31,EUR,2953357500.0
BRBY.L,2014,2014-12-31,EUR,9362892462.47382
TLIT.MI,2014,2014-12-31,EUR,15997750015.4625
KNEBV.HE,2014,2014-12-31,EUR,16847883709.44
SAN.MC,2014,2014-12-31,EUR,87283503057.013
PRTP.PA,2014,2014-12-31,EUR,18715220282.0912
NDXG.DE,2014,2014-12-31,EUR,1213640648.50725
PNDORA.CO,2014,2014-12-31,EUR,8771648577.71204
AYV.PA,2014,2014-12-31,EUR,
ZURN.S,2014,2014-12-31,EUR,38405901354.2304
ABI.BR,2014,2014-12-31,EUR,150949608762.16
HEXAb.ST,2014,2014-12-31,EUR,8755620656.46399
ASMI.AS,2014,2014-12-31,EUR,2003751983.62565
HEIN.AS,2014,2014-12-31,EUR,33955354036.35
KGF.L,2014,2014-12-31,EUR,10322143806.5481
AVOL.S,2014,2014-12-31,EUR,4393914512.421
MNG.L,2014,2014-12-31,EUR,
BAMI.MI,2014,2014-12-31,EUR,3730452398.33292
HAGG.DE,2014,2014-12-31,EUR,
A2.MI,2014,2014-12-31,EUR,2617542358.9335
TPE.WA,2014,2014-12-31,EUR,2053703304.02896
BEIJb.ST,2014,2014-12-31,EUR,532049231.387497
FNTGn.DE,2014,2014-12-31,EUR,3024222362.12768
CLNX.MC,2014,2014-12-31,EUR,
VWS.CO,2014,2014-12-31,EUR,7244732580.06234
KPN.AS,2014,2014-12-31,EUR,10291480280.1719
ITRK.L,2014,2014-12-31,EUR,4848344442.67223
TTEF.PA,2014,2014-12-31,EUR,101127218132.2
MTXGn.DE,2014,2014-12-31,EUR,3752320000.0
DSFIR.AS,2014,2014-12-31,EUR,
AGES.BR,2014,2014-12-31,EUR,6815542644.96
SCMN.S,2014,2014-12-31,EUR,22079770406.2678
VID.MC,2014,2014-12-31,EUR,916615266.595015
TEF.MC,2014,2014-12-31,EUR,55513862996.263
PIRC.MI,2014,2014-12-31,EUR,
PHG.AS,2014,2014-12-31,EUR,22575885027.25
DAST.PA,2014,2014-12-31,EUR,12924265588.92
LAND.L,2014,2014-12-31,EUR,11045768400.1689
INF.L,2014,2014-12-31,EUR,3933089063.69586
TENR.MI,2014,2014-12-31,EUR,14198936236.2458
III.L,2014,2014-12-31,EUR,5634672223.67645
RMV.L,2014,2014-12-31,EUR,2821232710.94559
CCH.L,2014,2014-12-31,EUR,5423998820.86065
PSHG_p.DE,2014,2014-12-31,EUR,20567750000.0
CWK.L,2014,2014-12-31,EUR,869720942.413948
ACS.MC,2014,2014-12-31,EUR,9115834243.44043
BKT.MC,2014,2014-12-31,EUR,4354655059.46379
ACPP.WA,2014,2014-12-31,EUR,973593681.558563
GETP.PA,2014,2014-12-31,EUR,5885000000.0
STLAM.MI,2014,2014-12-31,EUR,7835089128.67649
KCRA.HE,2014,2014-12-31,EUR,1477777557.27512
MBK.WA,2014,2014-12-31,EUR,4887448337.46418
ELISA.HE,2014,2014-12-31,EUR,3795159455.64
SBRY.L,2014,2014-12-31,EUR,5677542856.80767
SWECb.ST,2014,2014-12-31,EUR,1030844932.80259
SGSN.S,2014,2014-12-31,EUR,12985112453.7143
BAB.L,2014,2014-12-31,EUR,6839925628.22489
KNIN.S,2014,2014-12-31,EUR,13426383790.2265
NEXII.MI,2014,2014-12-31,EUR,
DNP.WA,2014,2014-12-31,EUR,
DTEGn.DE,2014,2014-12-31,EUR,60096319022.75
FBK.MI,2014,2014-12-31,EUR,2873738916.42
ISS.CO,2014,2014-12-31,EUR,4373748223.11987
IHG.L,2014,2014-12-31,EUR,5227747374.79768
BESI.AS,2014,2014-12-31,EUR,741828556.13
GALE.S,2014,2014-12-31,EUR,
SATG_p.DE,2014,2014-12-31,EUR,1864980000.0
SAABb.ST,2014,2014-12-31,EUR,2239668233.06944
BARN.S,2014,2014-12-31,EUR,4610539044.19378
REDE.MC,2014,2014-12-31,EUR,9903116700.0
EMG.L,2014,2014-12-31,EUR,3628802969.06999
ARDS.AS,2014,2014-12-31,EUR,2071922078.7
ROR.L,2014,2014-12-31,EUR,2602957875.31012
UTG.L,2014,2014-12-31,EUR,1206451975.02455
BVI.PA,2014,2014-12-31,EUR,8093789020.0
CFR.S,2014,2014-12-31,EUR,75352582061.9785
KGX.DE,2014,2014-12-31,EUR,3138592985.98959
LAGRb.ST,2014,2014-12-31,EUR,331738795.191657
WRT1V.HE,2014,2014-12-31,EUR,7343280169.21932
TRELb.ST,2014,2014-12-31,EUR,3770241936.72289
SIEGn.DE,2014,2014-12-31,EUR,74454961875.0
JMT.LS,2014,2014-12-31,EUR,5084066846.60542
EQTAB.ST,2014,2014-12-31,EUR,
RILBA.CO,2014,2014-12-31,EUR,756029313.176269
SDLF.L,2014,2014-12-31,EUR,2405063519.76422
PZU.WA,2014,2014-12-31,EUR,9677381144.67733
IGG.L,2014,2014-12-31,EUR,3389136793.4774
HIK.L,2014,2014-12-31,EUR,5050936403.74864
EONGn.DE,2014,2014-12-31,EUR,24915507528.0
MTO.L,2014,2014-12-31,EUR,1306833549.51399
BAES.L,2014,2014-12-31,EUR,19158339223.004
BP.L,2014,2014-12-31,EUR,96479747682.283
HOLMb.ST,2014,2014-12-31,EUR,2397448706.27701
GTT.PA,2014,2014-12-31,EUR,1813131657.3
INGP.WA,2014,2014-12-31,EUR,4188004647.98694
TEL.OL,2014,2014-12-31,EUR,24418443337.7062
SHBa.ST,2014,2014-12-31,EUR,23494806670.5272
CVO.PA,2014,2014-12-31,EUR,4719697552.4907
LDOF.MI,2014,2014-12-31,EUR,4469102553.35
ADP.PA,2014,2014-12-31,EUR,9920800350.5
IBE.MC,2014,2014-12-31,EUR,35419152033.3101
DCC.L,2014,2014-12-31,EUR,3842909754.0072
WEIR.L,2014,2014-12-31,EUR,5084569077.75147
NKT.CO,2014,2014-12-31,EUR,518972125.105014
UU.L,2014,2014-12-31,EUR,8040827290.58406
ALKb.CO,2014,2014-12-31,EUR,831903399.188438
CONG.DE,2014,2014-12-31,EUR,23868626808.6114
TBCG.L,2014,2014-12-31,EUR,
ABF.L,2014,2014-12-31,EUR,31342447164.4474
SVT.L,2014,2014-12-31,EUR,6188208915.63662
ALFA.ST,2014,2014-12-31,EUR,6509268854.94907
ALLFG.AS,2014,2014-12-31,EUR,
EDPR.LS,2014,2014-12-31,EUR,4713953307.448
HWDN.L,2014,2014-12-31,EUR,3315617005.27867
ITV.L,2014,2014-12-31,EUR,10184104013.9971
PST.MI,2014,2014-12-31,EUR,
ENAG.MC,2014,2014-12-31,EUR,6251256598.1
MRCG.DE,2014,2014-12-31,EUR,34095281192.76
SHCS.L,2014,2014-12-31,EUR,3924982114.54904
MUVGn.DE,2014,2014-12-31,EUR,28665238933.5
KESKOB.HE,2014,2014-12-31,EUR,3003141187.43
SGOB.PA,2014,2014-12-31,EUR,19795298844.49
LMPL.L,2014,2014-12-31,EUR,1219088366.5139
BASFn.DE,2014,2014-12-31,EUR,64183291136.72
AZMT.MI,2014,2014-12-31,EUR,2633017654.86
SUNB.L,2014,2014-12-31,EUR,
RBIV.VI,2014,2014-12-31,EUR,3709114621.08
SB1NO.OL,2014,2014-12-31,EUR,1481244083.2896
ACKB.BR,2014,2014-12-31,EUR,3420033898.4
SIGNC.S,2014,2014-12-31,EUR,
KBCA.BR,2014,2014-12-31,EUR,2089862070.66
SDZ.S,2014,2014-12-31,EUR,
SRG.MI,2014,2014-12-31,EUR,11376673248.9512
AV.L,2014,2014-12-31,EUR,13818103526.9405
ZAB.WA,2014,2014-12-31,EUR,
DIOR.PA,2014,2014-12-31,EUR,24358158509.4907
SIKA.S,2014,2014-12-31,EUR,5256248887.10825
SAVE.ST,2014,2014-12-31,EUR,
ABNd.AS,2014,2014-12-31,EUR,
BC8G.DE,2014,2014-12-31,EUR,1385578656.0
ANA.MC,2014,2014-12-31,EUR,3217986710.0
SUN.S,2014,2014-12-31,EUR,1655554672.30753
LEGD.PA,2014,2014-12-31,EUR,11530303062.765
SOPR.PA,2014,2014-12-31,EUR,1242994212.0
SKAb.ST,2014,2014-12-31,EUR,7078501024.55641
SPX.L,2014,2014-12-31,EUR,2709344899.64636
LONN.S,2014,2014-12-31,EUR,5017914852.75405
CABK.MC,2014,2014-12-31,EUR,24546309816.8442
BEIG.DE,2014,2014-12-31,EUR,16989840000.0
GETIb.ST,2014,2014-12-31,EUR,3617931357.36468
STDM.PA,2014,2014-12-31,EUR,2477450035.07464
BEAN.S,2014,2014-12-31,EUR,1208274642.43147
INVP.L,2014,2014-12-31,EUR,
PKN.WA,2014,2014-12-31,EUR,4828081398.96821
TW.L,2014,2014-12-31,EUR,4948394134.14749
PAFR.L,2014,2014-12-31,EUR,256195241.424288
NN.AS,2014,2014-12-31,EUR,8696176191.13
AKRBP.OL,2014,2014-12-31,EUR,865174962.05766
IMCD.AS,2014,2014-12-31,EUR,1410000000.0
THULE.ST,2014,2014-12-31,EUR,923210164.505662
IFXGn.DE,2014,2014-12-31,EUR,9974853489.35
CAGR.PA,2014,2014-12-31,EUR,27721695728.24
HBANC.S,2014,2014-12-31,EUR,3865358995.22415
TCFP.PA,2014,2014-12-31,EUR,9306242058.2
ABDN.L,2014,2014-12-31,EUR,8996249559.19067
VOPA.AS,2014,2014-12-31,EUR,5507789501.55
SECTb.ST,2014,2014-12-31,EUR,321250085.900203
BALDb.ST,2014,2014-12-31,EUR,1675302834.83964
RENA.PA,2014,2014-12-31,EUR,17900069850.52
VACN.S,2014,2014-12-31,EUR,
ERST.VI,2014,2014-12-31,EUR,8344913418.8
CTEC.L,2014,2014-12-31,EUR,
PERP.PA,2014,2014-12-31,EUR,24487796077.92
AMBUb.CO,2014,2014-12-31,EUR,854598036.127909
UNPI.MI,2014,2014-12-31,EUR,1854118906.416
BARC.L,2014,2014-12-31,EUR,51716253932.0584
TEMN.S,2014,2014-12-31,EUR,2109072044.71928
ORK.OL,2014,2014-12-31,EUR,5722385157.51662
NOVN.S,2014,2014-12-31,EUR,175825172705.381
UMG.AS,2014,2014-12-31,EUR,
WTB.L,2014,2014-12-31,EUR,11143718265.9069
BAKKA.OL,2014,2014-12-31,EUR,949502721.299222
MYCR.ST,2014,2014-12-31,EUR,265784150.729131
NOD.OL,2014,2014-12-31,EUR,868544339.980395
SCOR.PA,2014,2014-12-31,EUR,4836947614.115
DB1Gn.DE,2014,2014-12-31,EUR,11429460000.0
DANO.PA,2014,2014-12-31,EUR,35054474400.0
BFT.WA,2014,2014-12-31,EUR,185898506.772687
WPP.L,2014,2014-12-31,EUR,22824565070.2605
HRMS.PA,2014,2014-12-31,EUR,30860874696.2395
SQN.S,2014,2014-12-31,EUR,398128662.482718
HMb.ST,2014,2014-12-31,EUR,56940083069.8701
RYA.I,2014,2014-12-31,EUR,12814594442.1771
BIOX.PA,2014,2014-12-31,EUR,3382760235.12462
INGA.AS,2014,2014-12-31,EUR,41784515073.15
HRA.MI,2014,2014-12-31,EUR,2891194704.045
IDR.MC,2014,2014-12-31,EUR,1324549589.73
EXOR.AS,2014,2014-12-31,EUR,8381664094.0
BTRW.L,2014,2014-12-31,EUR,5293287167.26592
ARGX.BR,2014,2014-12-31,EUR,119672953.44
LIFCOb.ST,2014,2014-12-31,EUR,1248367708.41685
KSP.I,2014,2014-12-31,EUR,2463334288.1
EZJ.L,2014,2014-12-31,EUR,8544497691.80566
VNAn.DE,2014,2014-12-31,EUR,7636661944.47506
AIRP.PA,2014,2014-12-31,EUR,35456130186.5544
JMAT.L,2014,2014-12-31,EUR,8398670115.31752
BMEB.L,2014,2014-12-31,EUR,2585682633.87813
REY.MI,2014,2014-12-31,EUR,566783134.2
BCP.LS,2014,2014-12-31,EUR,3560590476.6561
QQ.L,2014,2014-12-31,EUR,1511119076.26543
INCH.L,2014,2014-12-31,EUR,4188190891.56128
AKZO.AS,2014,2014-12-31,EUR,11213261849.8584
WIHL.ST,2014,2014-12-31,EUR,1164388307.69636
NEKG.DE,2014,2014-12-31,EUR,804745441.5
ESSITYb.ST,2014,2014-12-31,EUR,
ACLN.S,2014,2014-12-31,EUR,
SAND.ST,2014,2014-12-31,EUR,9558462897.44253
METSO.HE,2014,2014-12-31,EUR,831005330.696
GBFG.DE,2014,2014-12-31,EUR,2133448407.085
ZALG.DE,2014,2014-12-31,EUR,6241436686.5
ANDR.VI,2014,2014-12-31,EUR,4785040000.0
FER.MC,2014,2014-12-31,EUR,12029487523.7143
INVEb.ST,2014,2014-12-31,EUR,22922716620.974
TLXGn.DE,2014,2014-12-31,EUR,6388196211.18
PRY.MI,2014,2014-12-31,EUR,3296194568.89396
SOON.S,2014,2014-12-31,EUR,8203614736.0058
BT.L,2014,2014-12-31,EUR,42077707120.4658
FPE3_p.DE,2014,2014-12-31,EUR,4519932500.0
EUFI.PA,2014,2014-12-31,EUR,
AKE.PA,2014,2014-12-31,EUR,4010252359.86
AZN.L,2014,2014-12-31,EUR,74076530500.3504
CNA.L,2014,2014-12-31,EUR,17846028202.962
RXL.PA,2014,2014-12-31,EUR,3799439396.02682
ASML.AS,2014,2014-12-31,EUR,39165537594.0
COLOb.CO,2014,2014-12-31,EUR,15506095286.4722
ESLX.PA,2014,2014-12-31,EUR,19966419783.52
GSK.L,2014,2014-12-31,EUR,68639908315.1186
PUBP.PA,2014,2014-12-31,EUR,12129903223.7237
REL.L,2014,2014-12-31,EUR,
ELE.MC,2014,2014-12-31,EUR,17522347536.35
ORAN.PA,2014,2014-12-31,EUR,37481728169.45
RBREW.CO,2014,2014-12-31,EUR,1640556706.73891
SY1G.DE,2014,2014-12-31,EUR,6507504334.62
CMBN.S,2014,2014-12-31,EUR,1367363304.5292
ORNBV.HE,2014,2014-12-31,EUR,3704981383.26
BBOXT.L,2014,2014-12-31,EUR,654139641.249748
EBP.WA,2014,2014-12-31,EUR,8548461208.62992
EDEN.PA,2014,2014-12-31,EUR,5252369038.43
HOTG.DE,2014,2014-12-31,EUR,4055988077.68
TEGG.DE,2014,2014-12-31,EUR,1263223078.7769
AG1G.DE,2014,2014-12-31,EUR,
ASSAb.ST,2014,2014-12-31,EUR,15517420038.6432
GIVN.S,2014,2014-12-31,EUR,13997771079.5033
VIS.MC,2014,2014-12-31,EUR,2053591196.64332
VOD.L,2014,2014-12-31,EUR,75983013164.5779
TRN.MI,2014,2014-12-31,EUR,7529430032.0
GF.S,2014,2014-12-31,EUR,2108115841.52488
SMIN.L,2014,2014-12-31,EUR,5579835543.86186
MNDI.L,2014,2014-12-31,EUR,
VERB.VI,2014,2014-12-31,EUR,5318934152.66
BAVA.CO,2014,2014-12-31,EUR,756706670.817653
STB.OL,2014,2014-12-31,EUR,1474046027.36517
AUTOA.L,2014,2014-12-31,EUR,
VZN.S,2014,2014-12-31,EUR,1176806555.42312
FRO.OL,2014,2014-12-31,EUR,234983147.480317
